angle_deg,model,n_b,G_T_linear,p_rf_W,at_cap,acm_mode,bits_per_beam_step_bit,bits_per_user_step_bit,energy_per_step_J,ee_bit_per_J
0.071933333,b0,1,1997.483339331,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.074700000,a-r0,1,1997.286148543,0.318069141653,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.899585843,16139739.917211
0.074700000,a-r0,2,1997.286148543,0.509942885219,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.371584941,21090711.028825
0.074700000,a-r0,4,1997.286148543,1.382042940263,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.970670406,25162225.272500
0.074700000,b0,1,1997.286148543,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.077466667,a-r0,1,1997.081535243,0.318101729794,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.905257494,16139018.599844
0.077466667,a-r0,2,1997.081535243,0.509995132008,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.378766347,21089742.476898
0.077466667,a-r0,4,1997.081535243,1.382184539072,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.982492910,25161020.812594
0.077466667,b0,1,1997.081535243,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.080233333,a-r0,1,1996.869501503,0.318135506814,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.911135750,16138271.074481
0.080233333,a-r0,2,1996.869501503,0.510049284858,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.386209356,21088738.736591
0.080233333,a-r0,4,1996.869501503,1.382331303674,0,QPSK 3/4,6214331644.444445,1553582911.111111,246.994746082,25159772.598500
0.080233333,b0,1,1996.869501503,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.083000000,a-r0,1,1996.650049469,0.318170473123,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.917220652,16137497.343452
0.083000000,a-r0,2,1996.650049469,0.510105344433,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.393914017,21087699.811300
0.083000000,a-r0,4,1996.650049469,1.382483235865,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.007430004,25158480.634967
0.083000000,b0,1,1996.650049469,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.085766667,a-r0,1,1996.423181360,0.318206629152,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.923512239,16136697.409165
0.085766667,a-r0,2,1996.423181360,0.510163311419,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.401880382,21086625.704539
0.085766667,a-r0,4,1996.423181360,1.382640337505,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.020544760,25157144.926914
0.085766667,b0,1,1996.423181360,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.088533333,a-r0,1,1996.188899473,0.318243975342,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.930010553,16135871.274111
0.088533333,a-r0,2,1996.188899473,0.510223186526,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.410108504,21085516.419941
0.088533333,a-r0,4,1996.188899473,1.382802610518,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.034090437,25155765.479425
0.088533333,b0,1,1996.188899473,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.091300000,a-r0,1,1995.947206178,0.318282512150,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.936715638,16135018.940864
0.091300000,a-r0,2,1995.947206178,0.510284970486,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.418598437,21084371.961260
0.091300000,a-r0,4,1995.947206178,1.382970056891,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.048067124,25154342.297751
0.091300000,b0,1,1995.947206178,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.094066667,a-r0,1,1995.698103919,0.318322240049,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.943627538,16134140.412078
0.094066667,a-r0,2,1995.698103919,0.510348664057,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.427350238,21083192.332365
0.094066667,a-r0,4,1995.698103919,1.383142678674,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.062474916,25152875.387308
0.094066667,b0,1,1995.698103919,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.096833333,a-r0,1,1995.441595218,0.318363159525,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.950746298,16133235.690489
0.096833333,a-r0,2,1995.441595218,0.510414268018,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.436363965,21081977.537248
0.096833333,a-r0,4,1995.441595218,1.383320477981,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.077313907,25151364.753681
0.096833333,b0,1,1995.441595218,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.099600000,a-r0,1,1995.177682668,0.318405271079,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.958071967,16132304.778914
0.099600000,a-r0,2,1995.177682668,0.510481783173,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.445639677,21080727.580019
0.099600000,a-r0,4,1995.177682668,1.383503456989,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.092584197,25149810.402620
0.099600000,b0,1,1995.177682668,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.102366667,a-r0,1,1994.906368940,0.318448575228,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.965604592,16131347.680255
0.102366667,a-r0,2,1994.906368940,0.510551210349,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.455177437,21079442.464904
0.102366667,a-r0,4,1994.906368940,1.383691617941,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.108285886,25148212.340041
0.102366667,b0,1,1994.906368940,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.105133333,a-r0,1,1994.627656778,0.318493072500,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.973344225,16130364.397491
0.105133333,a-r0,2,1994.627656778,0.510622550397,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.464977307,21078122.196253
0.105133333,a-r0,4,1994.627656778,1.383884963141,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.124419079,25146570.572027
0.105133333,b0,1,1994.627656778,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.107900000,a-r0,1,1994.341549000,0.318538763443,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.981290915,16129354.933685
0.107900000,a-r0,2,1994.341549000,0.510695804190,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.475039353,21076766.778531
0.107900000,a-r0,4,1994.341549000,1.384083494958,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.140983883,25144885.104827
0.107900000,b0,1,1994.341549000,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.110666667,a-r0,1,1994.048048500,0.318585648615,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.989444717,16128319.291983
0.110666667,a-r0,2,1994.048048500,0.510770972626,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.485363642,21075376.216325
0.110666667,a-r0,4,1994.048048500,1.384287215825,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.157980409,25143155.944857
0.110666667,b0,1,1994.048048500,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.113433333,a-r0,1,1993.747158247,0.318633728592,0,QPSK 1/4,2048126311.111111,2048126311.111111,126.997805684,16127257.475609
0.113433333,a-r0,2,1993.747158247,0.510848056627,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.495950243,21073950.514338
0.113433333,a-r0,4,1993.747158247,1.384496128239,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.175408769,25141383.098700
0.113433333,b0,1,1993.747158247,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.116200000,a-r0,1,1993.438881282,0.318683003962,0,QPSK 1/4,2048126311.111111,2048126311.111111,127.006373873,16126169.487873
0.116200000,a-r0,2,1993.438881282,0.510927057137,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.506799225,21072489.677394
0.116200000,a-r0,4,1993.438881282,1.384710234760,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.193269079,25139566.573103
0.116200000,b0,1,1993.438881282,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.118966667,a-r0,1,1993.123220723,0.318733475330,0,QPSK 1/4,2048126311.111111,2048126311.111111,127.015149339,16125055.332164
0.118966667,a-r0,2,1993.123220723,0.511007975125,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.517910661,21070993.710436
0.118966667,a-r0,4,1993.123220723,1.384929538013,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.211561458,25137706.374982
0.118966667,b0,1,1993.123220723,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.121733333,a-r0,1,1992.800179761,0.318785143314,0,QPSK 1/4,2048126311.111111,2048126311.111111,127.024132141,16123915.011952
0.121733333,a-r0,2,1992.800179761,0.511090811583,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.529284625,21069462.618525
0.121733333,a-r0,4,1992.800179761,1.385154040688,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.230286028,25135802.511417
0.121733333,b0,1,1992.800179761,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.124500000,a-r0,1,1992.469761662,0.318838008549,0,QPSK 1/4,2048126311.111111,2048126311.111111,127.033322340,16122748.530790
0.124500000,a-r0,2,1992.469761662,0.511175567526,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.540921192,21067896.406841
0.124500000,a-r0,4,1992.469761662,1.385383745536,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.249442913,25133854.989655
0.124500000,b0,1,1992.469761662,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.127266667,a-r0,1,1992.131969766,0.318892071681,0,QPSK 1/4,2048126311.111111,2048126311.111111,127.042719995,16121555.892313
0.127266667,a-r0,2,1992.131969766,0.511262243995,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.552820440,21066295.080685
0.127266667,a-r0,4,1992.131969766,1.385618655376,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.269032240,25131863.817109
0.127266667,b0,1,1992.131969766,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.130033333,a-r0,1,1991.786807489,0.318947333376,0,QPSK 1/4,2048126311.111111,2048126311.111111,127.052325170,16120337.100238
0.130033333,a-r0,2,1991.786807489,0.511350842051,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.564982448,21064658.645474
0.130033333,a-r0,4,1991.786807489,1.385858773088,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.289054140,25129829.001360
0.130033333,b0,1,1991.786807489,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.132800000,a-r0,1,1991.434278317,0.319003794310,0,QPSK 1/4,2048126311.111111,2048126311.111111,127.062137929,16119092.158361
0.132800000,a-r0,2,1991.434278317,0.511441362783,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.577407297,21062987.106746
0.132800000,a-r0,4,1991.434278317,1.386104101619,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.309508746,25127750.550153
0.132800000,b0,1,1991.434278317,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.135566667,a-r0,1,1991.074385815,0.319061455176,0,QPSK 1/4,2048126311.111111,2048126311.111111,127.072158336,16117821.070561
0.135566667,a-r0,2,1991.074385815,0.511533807301,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.590095070,21061280.470157
0.135566667,a-r0,4,1991.074385815,1.386354643978,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.330396194,25125628.471400
0.135566667,b0,1,1991.074385815,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.138333333,a-r0,1,1990.707133619,0.319120316682,0,QPSK 1/4,2048126311.111111,2048126311.111111,127.082386459,16116523.840801
0.138333333,a-r0,2,1990.707133619,0.511628176740,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.603045850,21059538.741482
0.138333333,a-r0,4,1990.707133619,1.386610403240,0,QPSK 3/4,6214331644.444445,1553582911.111111,247.351716622,25123462.773179
0.138333333,b0,1,1990.707133619,1.650000000000,1,QPSK 4/5,6630952177.777779,6630952177.777779,268.353221940,24709791.556953
0.141100000,a-r0,1,1990.332525440,0.319180379550,0,QPSK 1/4,2048126311.111111,2048126311.111111,127.092822365,16115200.473123
0.141100000,a-r0,2,1990.332525440,0.511724472257,0,QPSK 2/5,3297987911.111111,1648993955.555555,156.616259724,21057761.926616
