arm,checkpoint_sha256,training_seed,evaluation_seed,users,steps,duration_s,useful_bits,system_energy_j,system_ee_bits_per_j,mean_system_power_w,mean_system_throughput_bps,served_user_intervals,total_user_intervals,served_fraction,zero_power_intervals,zero_service_intervals,r1_sum,r2_sum,r3_sum
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082908,120,10,300.8,8987493848092.35,115323.41884382589,77932946.64862007,383.3890254116552,29878636463.07297,1199,1200,0.9991666666666666,0,0,736503818.4712372,-318.0,-3367.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082904,140,10,300.8,9153713545663.223,123829.16127994999,73922115.3648027,411.66609468068475,30431228542.76337,1400,1400,1.0,0,0,699120190.5744344,-421.5,-4440.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082905,140,10,300.8,9297364859411.855,121679.04697772197,76408922.40973991,404.51810830359693,30908792750.704304,1399,1400,0.9992857142857143,0,0,728233709.232417,-366.5,-4423.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082906,140,10,300.8,11692473576244.965,128304.33573342477,91130775.19483186,426.5436693265451,38871255240.17608,1397,1400,0.9978571428571429,0,0,872786654.2336375,-415.0,-4259.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082907,140,10,300.8,9776765708005.883,124505.2668720742,78524916.68526156,413.91378614386366,32502545571.828068,1396,1400,0.9971428571428571,0,0,745431991.8561736,-411.5,-4524.0
Full - C1,946a5c2aab645d1fe1f522fd4c691ebea111debd9b316dc654c3146cfeef75cb,2026082901,2026082908,140,10,300.8,9586252260773.725,124603.6230089279,76933976.9525551,414.2407679818082,31869189696.721157,1399,1400,0.9992857142857143,0,0,727542248.7968541,-363.5,-4325.0
Full - C2,adf1979ad701c284219fb80f834930d72409b2c83fe09404a2c296d2088d140d,2026082901,2026082904,60,10,300.8,6588938634340.873,73352.89685151126,89825200.0555466,243.85936453294968,21904716204.590668,600,600,1.0,0,0,887452790.0429031,-138.0,-1338.0
Full - C2,adf1979ad701c284219fb80f834930d72409b2c83fe09404a2c296d2088d140d,2026082901,2026082905,60,10,300.8,6848820859539.361,74514.90089536122,91912097.8119119,247.7224098914934,22768686368.14947,600,600,1.0,0,0,892252429.7058672,-158.0,-1146.0
Full - C2,adf1979ad701c284219fb80f834930d72409b2c83fe09404a2c296d2088d140d,2026082901,2026082906,60,10,300.8,8137254539297.469,74982.36790906906,108522240.17739075,249.2764890594051,27052043016.28148,598,600,0.9966666666666667,0,0,1072420559.9442229,-171.5,-1116.0
Full - C2,adf1979ad701c284219fb80f834930d72409b2c83fe09404a2c296d2088d140d,2026082901,2026082907,60,10,300.8,6721387184303.576,71277.63002526257,94298690.65401514,236.96020620100586,22345037181.86029,600,600,1.0,0,0,929976303.8970897,-160.5,-1244.0
